city,country,max_temp,humidity,cloudiness,wind_speed,lat,lon,date
Arrondissement de Tulle,FR,46.0,39,97,3.42,45.33,1.83,1607879892
Churapcha,RU,-49.76,76,80,2.73,62.0,132.43,1607879892
Szczytno,PL,32.0,98,90,4.7,53.56,20.99,1607879892
Katherine,AU,80.6,83,90,3.47,-14.47,132.27,1607879893
Derzhavīnsk,KZ,7.11,93,96,8.57,51.1,66.32,1607879893
Semnan,IR,36.55,75,2,0.45,35.57,53.4,1607879681
Nikolskoye,RU,25.0,85,90,2.24,59.7,30.79,1607879615
Soyo,AO,78.57,77,40,8.55,-6.13,12.37,1607879640
Vao,NC,77.11,81,98,25.52,-22.67,167.48,1607879613
Esim,GH,81.39,80,92,8.95,4.87,-2.24,1607879652
Norman Wells,CA,-38.2,72,20,2.24,65.28,-126.83,1607879652
Ancud,CL,57.99,58,90,10.29,-41.87,-73.82,1607879666
Flin Flon,CA,-9.4,76,5,16.11,54.77,-101.86,1607879686
Waipawa,NZ,55.4,71,100,12.75,-41.41,175.52,1607879894
Hithadhoo,MV,83.1,77,100,17.07,-0.6,73.08,1607879624
Ust'-Barguzin,RU,-6.92,92,100,7.49,53.45,108.98,1607879894
Brae,GB,46.4,81,90,25.28,60.4,-1.35,1607879637
Pawican,PH,79.09,86,70,9.8,12.07,123.97,1607879894
Pringsewu,ID,73.13,93,97,2.42,-5.36,104.97,1607879894
Moerai,PF,76.78,66,69,3.02,-22.43,-151.33,1607879681
Portland,US,39.99,86,90,11.41,45.52,-122.68,1607879490
Cururupu,BR,89.69,54,47,7.74,-1.83,-44.87,1607879685
Byron Bay,AU,71.6,88,90,21.92,-28.65,153.62,1607879746
Leningradskiy,RU,12.15,93,100,9.75,69.38,178.42,1607879660
Mezhova,UA,35.17,86,100,15.08,48.25,36.73,1607879895
Rawson,AR,71.65,23,9,21.99,-43.3,-65.1,1607879434
Chapais,CA,19.4,85,90,9.17,49.78,-74.85,1607879650
Geraldton,AU,64.4,68,90,6.93,-28.77,114.6,1607879632
Cayenne,GF,87.8,62,75,12.75,4.93,-52.33,1607879654
Beremend,HU,41.0,86,75,4.7,45.79,18.43,1607879896
Fonte Boa,BR,89.96,59,64,1.28,-2.5,-66.27,1607879896
Dire Dawa,ET,65.88,53,0,3.87,9.59,41.87,1607879661
Sitka,US,44.6,36,20,13.87,57.05,-135.33,1607879675
Lunca,RO,42.8,93,90,4.7,43.83,24.77,1607879896
Kaitangata,NZ,52.0,71,62,7.0,-46.28,169.85,1607879629
Arona,ES,71.01,68,75,5.82,28.1,-16.68,1607879896
Touros,BR,86.0,62,40,13.87,-5.2,-35.46,1607879646
Anzio,IT,51.01,66,5,5.82,41.49,12.62,1607879897
Palmas,BR,89.6,62,40,8.05,-10.21,-48.36,1607879897
Tual,ID,84.7,73,93,10.54,-5.67,132.75,1607879733
Uberaba,BR,83.08,61,58,5.32,-19.75,-47.93,1607879897
Husavik,IS,39.2,89,75,4.7,66.04,-17.34,1607879661
Maniitsoq,GL,17.87,93,100,13.11,65.42,-52.9,1607879678
Jamestown,US,35.01,86,90,11.41,42.1,-79.24,1607879898
Chokurdakh,RU,-22.52,88,100,6.24,70.63,147.92,1607879645
Rodrigues Alves,BR,87.8,70,20,8.05,-7.74,-72.65,1607879651
Djebeniana,TN,62.6,42,40,10.29,35.03,10.91,1607879898
Kumul,CN,12.18,69,0,2.35,42.8,93.45,1607879665
Giyani,ZA,80.94,50,0,3.53,-23.3,30.72,1607879898
Lagoa,PT,58.32,66,75,27.65,39.05,-27.98,1607879616
Ovada,IT,51.8,71,0,3.36,44.64,8.65,1607879898
Yellowknife,CA,-25.01,74,20,10.29,62.46,-114.35,1607879619
Haines Junction,CA,3.2,84,100,1.12,60.75,-137.51,1607879899
Nakusp,CA,28.4,68,100,4.7,50.25,-117.8,1607879899
Nara,JP,48.99,47,83,10.8,34.69,135.8,1607879899
Necochea,AR,70.0,57,63,12.03,-38.55,-58.74,1607879635
Klaksvík,FO,44.6,75,100,32.21,62.23,-6.59,1607879648
Nísia Floresta,BR,86.0,58,20,19.46,-6.09,-35.21,1607879737
Pitimbu,BR,84.2,66,75,19.46,-7.47,-34.81,1607879640
Kavieng,PG,83.23,76,87,12.39,-2.57,150.8,1607879634
Tsabong,BW,89.53,11,0,11.25,-26.02,22.4,1607879900
Tateyama,JP,55.99,27,50,11.99,34.98,139.87,1607879738
Belaya Gora,RU,-25.02,86,100,3.27,68.53,146.42,1607879900
Caravelas,BR,84.04,53,68,10.2,-17.71,-39.25,1607879727
Leer,SS,85.84,21,47,2.21,8.3,30.14,1607879684
Bambous Virieux,MU,75.99,88,75,14.99,-20.34,57.76,1607879627
Tuktoyaktuk,CA,-22.0,74,40,10.29,69.45,-133.04,1607879626
Pyinmana,MM,62.37,77,0,2.68,19.73,96.22,1607879612
Upernavik,GL,23.58,97,100,3.62,72.79,-56.15,1607879621
Whitley Bay,GB,45.0,93,75,11.41,55.04,-1.45,1607879901
Port Hedland,AU,75.2,83,14,5.82,-20.32,118.57,1607879651
Vila Franca do Campo,PT,60.8,67,20,19.46,37.72,-25.43,1607879649
Bila Krynytsya,UA,32.0,96,100,6.71,50.64,29.47,1607879901
Guerrero Negro,MX,67.08,34,0,13.11,27.98,-114.06,1607879901
Vostok,RU,-12.98,91,95,4.97,46.49,135.88,1607879746
Codrington,AU,66.78,41,16,10.92,-38.27,141.97,1607879624
Constitución,CL,69.71,33,0,19.93,-35.33,-72.42,1607879679
Cidreira,BR,79.83,64,3,10.25,-30.18,-50.21,1607879615
Ribeira Grande,PT,59.0,72,40,21.92,38.52,-28.7,1607879644
Russell,US,62.6,82,90,4.7,32.35,-85.2,1607879690
Margate,GB,48.99,90,98,10.0,51.38,1.39,1607879704
Shenjiamen,CN,48.99,85,100,28.12,29.96,122.3,1607879902
Grindavik,IS,44.6,71,75,23.04,63.84,-22.43,1607879688
George Town,MY,80.6,88,20,3.27,5.41,100.34,1607879903
